,,,,,,,,,,Number
  Total HDB Dwellings,231776,233930,237856,238954,242354,243732,246019,249264,256374,258711
    HDB 1- And 2-Room Flats,7021,6912,6972,6871,6611,6605,6462,6143,6051,5949
    HDB 3-Room Flats,39078,40218,41872,42834,44590,45676,46593,47669,49855,50920
    HDB 4-Room Flats,112125,112502,112727,111688,110901,109281,108319,107336,107657,106669
    HDB 5-Room And Executive Flats,73552,74298,76285,77561,80109,81997,84436,87728,92365,94723
  Condominiums & Other Apartments,54289,53325,51866,47625,44437,41713,39609,39364,39944,39674
  Landed Properties,11918,11981,12295,12470,13106,13403,13986,14268,14962,15056
  Other Types Of Dwelling,1532,1582,1703,1907,2101,2219,2415,2607,2690,2720
40-44 Years,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614
  Total HDB Dwellings,221288,223336,227509,236674,242006,247442,249370,248245,246762,246738
    HDB 1- And 2-Room Flats,8475,8323,7850,7844,8279,8438,8318,8122,7590,7236
    HDB 3-Room Flats,40405,41371,42940,45184,46488,47569,47908,47742,48223,49021
    HDB 4-Room Flats,98401,97774,98125,100152,100561,101498,101422,100529,99634,99434
    HDB 5-Room And Executive Flats,74007,75868,78594,83494,86492,89739,91491,91484,90894,90595
  Condominiums & Other Apartments,62176,61030,59246,57014,52909,49869,46676,44415,42476,40626
  Landed Properties,14163,14609,14932,15728,16318,17030,17517,17395,17095,16777
  Other Types Of Dwelling,1664,1788,1953,2068,2212,2414,2460,2526,2490,2473
45-49 Years,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991
  Total HDB Dwellings,228505,230541,230679,231443,234198,240023,246846,254959,260192,263727
    HDB 1- And 2-Room Flats,10476,10231,10041,10005,10276,10755,10806,10613,9898,9342
    HDB 3-Room Flats,43905,44340,44529,44807,45752,47143,49275,51467,53410,54918
    HDB 4-Room Flats,92941,93144,93033,93156,94082,96829,99893,103575,106167,107861
    HDB 5-Room And Executive Flats,81183,82826,83076,83475,83922,85118,86635,88847,90127,90941
  Condominiums & Other Apartments,63531,61194,57420,52171,47109,43368,40863,39668,38484,37578
  Landed Properties,17808,18071,17831,17793,17663,17786,18434,19013,19460,19973
  Other Types Of Dwelling,1896,1876,1908,2050,2213,2236,2390,2696,2789,2713
50-54 Years,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130
  Total HDB Dwellings,227285,234631,242985,248778,253729,255201,256890,256259,255239,253979
    HDB 1- And 2-Room Flats,12518,12871,12968,12993,13097,12896,12585,12176,11526,10941
    HDB 3-Room Flats,44482,46407,48531,50108,51622,52255,53116,53225,53671,54483
    HDB 4-Room Flats,91226,94498,98342,101111,103107,103721,104422,103995,103494,103143
    HDB 5-Room And Executive Flats,79059,80855,83144,84566,85688,86096,86470,86208,85709,84560
  Condominiums & Other Apartments,49225,47021,45106,42581,39624,37050,35013,32837,31231,29979
  Landed Properties,17624,17997,18653,19132,19754,20210,20888,21145,21251,21586
  Other Types Of Dwelling,1934,2033,2221,2323,2491,2630,2712,2747,2655,2586
55-59 Years,305830,306759,304390,301678,299591,295063,288392,281069,271817,260678
  Total HDB Dwellings,245288,247491,246817,246038,245893,243163,238087,232703,225488,216258
    HDB 1- And 2-Room Flats,15257,15275,15200,14965,14734,14367,13183,12233,11230,10389
    HDB 3-Room Flats,49802,50296,50323,50563,51321,51412,50994,50882,50649,49841
    HDB 4-Room Flats,99327,100231,99937,99553,99454,98349,96988,95096,92384,88288
    HDB 5-Room And Executive Flats,80902,81689,81357,80957,80158,78799,76605,73820,70470,67000
  Condominiums & Other Apartments,38676,37022,35127,32900,30517,28583,26805,25123,23473,22215
  Landed Properties,19388,19719,19936,20222,20642,20815,20967,20669,20350,19760
  Other Types Of Dwelling,2478,2527,2510,2518,2539,2502,2533,2574,2506,2445
60-64 Years,284626,278828,271688,262651,251853,240493,231502,222154,213996,208160
  Total HDB Dwellings,233428,229076,223221,216223,208022,198879,191479,183838,177048,171949
    HDB 1- And 2-Room Flats,17485,16892,16467,15605,14682,13579,12274,11258,10566,10132
    HDB 3-Room Flats,48240,47658,47399,46618,45833,44863,44528,44102,44142,44639
    HDB 4-Room Flats,93468,92300,89921,87650,83959,80212,76872,73357,69882,67344
    HDB 5-Room And Executive Flats,74235,72226,69434,66350,63316,59993,57488,54558,51764,49153
